The United States of America, Life tables (period 5x1), Total     Last modified: 24-Jun-2013, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1933           0      0.06167  0.05883  0.22  100000    5883   95405  6087969  60.88
  1933         1-4      0.00484  0.01911  1.41   94117    1799  371812  5992564  63.67
  1933         5-9      0.00164  0.00815  2.31   92318     752  459563  5620752  60.88
  1933        10-14     0.00135  0.00674  2.61   91565     617  456355  5161189  56.37
  1933        15-19     0.00229  0.01137  2.70   90948    1034  452360  4704834  51.73
  1933        20-24     0.00329  0.01633  2.58   89914    1468  446020  4252474  47.29
  1933        25-29     0.00374  0.01852  2.53   88446    1638  438189  3806454  43.04
  1933        30-34     0.00438  0.02167  2.59   86808    1881  429499  3368265  38.80
  1933        35-39     0.00559  0.02755  2.56   84926    2340  418927  2938766  34.60
  1933        40-44     0.00698  0.03432  2.61   82587    2835  406166  2519839  30.51
  1933        45-49     0.00983  0.04804  2.62   79752    3832  389627  2113673  26.50
  1933        50-54     0.01357  0.06571  2.59   75920    4989  367559  1724046  22.71
  1933        55-59     0.01851  0.08867  2.62   70932    6289  339708  1356486  19.12
  1933        60-64     0.02810  0.13157  2.59   64642    8505  302674  1016778  15.73
  1933        65-69     0.04003  0.18258  2.60   56137   10250  256057   714104  12.72
  1933        70-74     0.06369  0.27513  2.53   45888   12625  198224   458048   9.98
  1933        75-79     0.09056  0.36893  2.49   33263   12272  135512   259824   7.81
  1933        80-84     0.13700  0.50431  2.38   20991   10586   77269   124312   5.92
  1933        85-89     0.19790  0.64017  2.24   10405    6661   33659    47043   4.52
  1933        90-94     0.26069  0.73581  2.04    3744    2755   10568    13385   3.57
  1933        95-99     0.33755  0.82890  1.93     989     820    2429     2817   2.85
  1933       100-104    0.42799  0.89546  1.75     169     152     354      388   2.29
  1933       105-109    0.52376  0.93829  1.58      18      17      32       34   1.89
  1933       110+       0.60163  1.00000  1.66       1       1       2        2   1.66
  1934           0      0.06787  0.06452  0.24  100000    6452   95072  6022812  60.23
  1934         1-4      0.00531  0.02093  1.38   93548    1958  369054  5927741  63.37
  1934         5-9      0.00168  0.00836  2.31   91590     766  455886  5558686  60.69
  1934        10-14     0.00138  0.00687  2.60   90824     624  452622  5102800  56.18
  1934        15-19     0.00230  0.01143  2.70   90200    1031  448630  4650179  51.55
  1934        20-24     0.00331  0.01641  2.58   89170    1463  442307  4201549  47.12
  1934        25-29     0.00375  0.01858  2.53   87706    1629  434511  3759241  42.86
  1934        30-34     0.00437  0.02164  2.58   86077    1863  425880  3324730  38.63
  1934        35-39     0.00562  0.02774  2.57   84214    2336  415405  2898850  34.42
  1934        40-44     0.00705  0.03464  2.60   81878    2836  402595  2483445  30.33
  1934        45-49     0.00999  0.04877  2.63   79041    3855  386063  2080850  26.33
  1934        50-54     0.01413  0.06832  2.59   75186    5137  363527  1694788  22.54
  1934        55-59     0.01873  0.08962  2.61   70049    6278  335239  1331261  19.00
  1934        60-64     0.02841  0.13297  2.59   63771    8480  298451   996022  15.62
  1934        65-69     0.04063  0.18500  2.59   55292   10229  251767   697571  12.62
  1934        70-74     0.06426  0.27745  2.54   45063   12503  194556   445804   9.89
  1934        75-79     0.09269  0.37591  2.49   32560   12240  132051   251248   7.72
  1934        80-84     0.13894  0.50914  2.38   20321   10346   74465   119197   5.87
  1934        85-89     0.19814  0.64069  2.24    9974    6391   32253    44732   4.48
  1934        90-94     0.26956  0.74944  2.04    3584    2686    9964    12478   3.48
  1934        95-99     0.34379  0.83478  1.92     898     750    2180     2514   2.80
  1934       100-104    0.43639  0.90032  1.74     148     134     306      334   2.25
  1934       105-109    0.53402  0.94182  1.56      15      14      26       27   1.86
  1934       110+       0.61323  1.00000  1.63       1       1       1        1   1.63
